batter,Player,Team,Position,Signal,Luck Score,wOBA,xwOBA,xwOBA Gap,Ownership %,FP Rank,CBS Rank,CBS FPTS,Type,pitcher,ERA,FIP,xERA
663647.0,Ke'bryan Hayes,CIN,3B,Buy low,0.5698,0.209,0.308,0.099,0.52,,286.0,29.0,Hitter,,,,
663757.0,Trent Grisham,NYY,CF,Buy low,0.5213,0.3,0.399,0.099,19.06,,67.0,95.0,Hitter,,,,
608070.0,José Ramírez,CLE,3B,Buy low,0.5027,0.327,0.397,0.07,99.83,7.0,19.0,128.0,Hitter,,,,
664761.0,Alec Bohm,PHI,3B,Buy low,0.4533,0.231,0.271,0.04,15.84,,224.0,49.0,Hitter,,,,
694497.0,Evan Carter,TEX,LF,Buy low,0.4135,0.289,0.344,0.055,3.93,,158.0,67.5,Hitter,,,,
701398.0,Sal Stewart,CIN,1B,Buy low,0.3905,0.359,0.402,0.043,92.48,,12.0,133.5,Hitter,,,,
702332.0,Caleb Durbin,BOS,3B,Buy low,0.3669,0.248,0.278,0.03,30.8,,174.0,64.5,Hitter,,,,
681082.0,Bryson Stott,PHI,2B,Buy low,0.3651,0.272,0.324,0.052,36.62,,149.0,69.0,Hitter,,,,
608369.0,Corey Seager,TEX,SS,Buy low,0.3558,0.303,0.371,0.068,87.19,36.0,86.0,89.5,Hitter,,,,
669224.0,Austin Wells,NYY,C,Buy low,0.3523,0.282,0.362,0.08,10.39,,222.0,50.0,Hitter,,,,
686469.0,Vinnie Pasquantino,KC,1B,Buy low,0.3224,0.297,0.326,0.029,65.01,,116.0,80.0,Hitter,,,,
641487.0,J. p. Crawford,SEA,SS,Buy low,0.3175,0.332,0.404,0.072,6.66,,,79.0,Hitter,,,,
680776.0,Jarren Duran,BOS,CF,Buy low,0.3142,0.254,0.31,0.056,81.29,,115.0,80.5,Hitter,,,,
592518.0,Manny Machado,SD,3B,Buy low,0.3124,0.316,0.35,0.034,98.66,20.0,98.0,86.0,Hitter,,,,
678662.0,Ezequiel Tovar,COL,SS,Buy low,0.3082,0.242,0.294,0.052,5.39,,230.0,47.0,Hitter,,,,
666139.0,Josh Lowe,LAA,,Buy low,0.3046,0.222,0.295,0.073,1.07,,,,Hitter,,,,
650859.0,Luis Rengifo,MIL,2B,Buy low,0.2928,0.262,0.277,0.015,0.72,,214.0,51.5,Hitter,,,,
670770.0,Tj Friedl,CIN,CF,Buy low,0.2864,0.258,0.262,0.004,13.69,,180.0,61.5,Hitter,,,,
681198.0,Tj Rumfield,COL,3B,Buy low,0.2861,0.333,0.34,0.007,10.82,,99.0,85.5,Hitter,,,,
630105.0,Jake Cronenworth,SD,1B,Buy low,0.2756,0.247,0.313,0.066,4.47,,240.0,43.5,Hitter,,,,
621020.0,Dansby Swanson,CHC,SS,Buy low,0.2706,0.329,0.383,0.054,45.44,,47.0,106.0,Hitter,,,,
701807.0,Carson Benge,NYM,RF,Buy low,0.267,0.258,0.299,0.041,6.11,,184.0,61.0,Hitter,,,,
680574.0,Matt Mclain,CIN,SS,Buy low,0.2618,0.274,0.311,0.037,10.09,,156.0,67.5,Hitter,,,,
670541.0,Yordan Álvarez,HOU,DH,Buy low,0.2525,0.455,0.541,0.086,99.69,3.0,2.0,161.0,Hitter,,,,
663586.0,Austin Riley,ATL,3B,Buy low,0.2341,0.289,0.306,0.017,83.87,31.0,75.0,91.5,Hitter,,,,
805300.0,Jakob Marsee,MIA,OF,Buy low,0.2302,0.259,0.276,0.017,37.87,,114.0,81.0,Hitter,,,,
683002.0,Gunnar Henderson,BAL,3B,Buy low,0.2249,0.318,0.348,0.03,98.35,11.0,53.0,105.0,Hitter,,,,
663886.0,Tyler Stephenson,CIN,C,Buy low,0.2225,0.281,0.361,0.08,1.72,,265.0,36.5,Hitter,,,,
605137.0,Josh Bell,MIN,DH,Buy low,0.2221,0.288,0.343,0.055,14.21,,106.0,82.0,Hitter,,,,
660271.0,Shohei Ohtani,LAD,DH,Buy low,0.22,0.36,0.397,0.037,99.82,2.0,37.0,111.0,Hitter,,,,
606466.0,Ketel Marte,AZ,2B,Buy low,0.2192,0.308,0.372,0.064,99.41,,123.0,77.0,Hitter,,,,
686217.0,Sal Frelick,MIL,RF,Buy low,0.2123,0.293,0.309,0.016,33.22,,153.0,68.5,Hitter,,,,
691720.0,Kyle Karros,COL,3B,Buy low,0.2122,0.291,0.346,0.055,0.27,,202.0,56.0,Hitter,,,,
607208.0,Trea Turner,PHI,SS,Buy low,0.2018,0.3,0.31,0.01,90.82,18.0,77.0,91.0,Hitter,,,,
693307.0,Dillon Dingler,DET,C,Buy low,0.2012,0.361,0.438,0.077,48.7,,79.0,91.0,Hitter,,,,
660670.0,Ronald Acuña,ATL,RF,Buy low,0.2,0.337,0.383,0.046,99.42,,,91.5,Hitter,,,,
656775.0,Cedric Mullins,TB,,Buy low,0.1979,0.215,0.24,0.025,1.88,,,,Hitter,,,,
671732.0,Lawrence Butler,ATH,CF,Buy low,0.1887,0.269,0.324,0.055,14.79,,206.0,54.0,Hitter,,,,
672695.0,Geraldo Perdomo,AZ,SS,Buy low,0.1855,0.322,0.32,-0.002,84.28,,91.0,87.0,Hitter,,,,
687637.0,Dylan Beavers,BAL,RF,Buy low,0.1838,0.283,0.315,0.032,1.45,,201.0,56.0,Hitter,,,,
667670.0,Brent Rooker,ATH,,Buy low,0.1833,0.246,0.299,0.053,77.64,,,,Hitter,,,,
680757.0,Steven Kwan,CLE,LF,Buy low,0.181,0.28,0.291,0.011,79.12,,136.0,72.5,Hitter,,,,
542303.0,Marcell Ozuna,PIT,,Neutral,0.1726,0.266,0.313,0.047,5.83,,,,Hitter,,,,
666310.0,Bo Naylor,CLE,C,Neutral,0.1707,0.188,0.295,0.107,1.3,,307.0,18.0,Hitter,,,,
691016.0,Tyler Soderstrom,ATH,C,Neutral,0.1706,0.322,0.354,0.032,71.18,,80.0,91.0,Hitter,,,,
682668.0,Luisangel Acuña,CWS,2B,Neutral,0.1703,0.191,0.27,0.079,1.12,,271.0,35.0,Hitter,,,,
592626.0,Joc Pederson,TEX,,Neutral,0.1663,0.274,0.329,0.055,0.2,,,,Hitter,,,,
656941.0,Kyle Schwarber,PHI,LF,Neutral,0.1662,0.366,0.404,0.038,99.53,28.0,31.0,113.5,Hitter,,,,
681715.0,Heriberto Hernandez,MIA,,Neutral,0.1649,0.259,0.293,0.034,0.1,,,,Hitter,,,,
665561.0,Rafael Marchán,PHI,C,Neutral,0.1627,0.143,0.21,0.067,0.12,,331.0,9.5,Hitter,,,,
605170.0,Víctor Caratini,MIN,C,Neutral,0.1604,0.285,0.34,0.055,1.04,,231.0,46.5,Hitter,,,,
663728.0,Cal Raleigh,SEA,C,Neutral,0.1591,0.28,0.328,0.048,99.53,27.0,126.0,76.0,Hitter,,,,
669394.0,Jake Burger,TEX,3B,Neutral,0.1584,0.268,0.288,0.02,8.1,,139.0,71.5,Hitter,,,,
802139.0,Jj Wetherholt,STL,2B,Neutral,0.1572,0.354,0.373,0.019,77.13,,21.0,124.0,Hitter,,,,
672761.0,Wenceel Pérez,DET,,Neutral,0.1571,0.218,0.339,0.121,0.71,,,,Hitter,,,,
687597.0,Jordan Beck,COL,,Neutral,0.1568,0.234,0.286,0.052,0.96,,,,Hitter,,,,
663656.0,Kyle Tucker,LAD,RF,Neutral,0.1549,0.321,0.334,0.013,99.66,,58.0,103.5,Hitter,,,,
668904.0,Royce Lewis,MIN,3B,Neutral,0.1518,0.285,0.326,0.041,7.52,,236.0,44.5,Hitter,,,,
691723.0,Coby Mayo,BAL,3B,Neutral,0.1516,0.23,0.28,0.05,1.3,,244.0,42.5,Hitter,,,,
676475.0,Alec Burleson,STL,LF,Neutral,0.1473,0.334,0.375,0.041,90.1,,33.0,113.5,Hitter,,,,
608324.0,Alex Bregman,CHC,3B,Neutral,0.147,0.33,0.353,0.023,94.21,21.0,89.0,88.0,Hitter,,,,
696100.0,Hunter Goodman,COL,RF,Neutral,0.1424,0.342,0.346,0.004,72.76,,84.0,89.5,Hitter,,,,
701350.0,Roman Anthony,BOS,RF,Neutral,0.1392,0.296,0.347,0.051,79.89,,185.0,60.5,Hitter,,,,
683737.0,Michael Busch,CHC,3B,Neutral,0.1347,0.308,0.321,0.013,41.65,,94.0,87.0,Hitter,,,,
807712.0,Luke Keaschall,MIN,2B,Neutral,0.1331,0.286,0.294,0.008,57.16,,85.0,89.5,Hitter,,,,
671277.0,Luis García,WSH,2B,Neutral,0.1315,0.282,0.303,0.021,0.0,,175.0,64.5,Hitter,,,,
669701.0,Josh Smith,TEX,,Neutral,0.1303,0.284,0.308,0.024,2.49,,,,Hitter,,,,
695657.0,Colson Montgomery,CWS,SS,Neutral,0.1265,0.362,0.374,0.012,24.8,,59.0,102.0,Hitter,,,,
641355.0,Cody Bellinger,NYY,CF,Neutral,0.1237,0.394,0.413,0.019,98.7,22.0,16.0,131.0,Hitter,,,,
669257.0,Will Smith,LAD,C,Neutral,0.1236,0.315,0.367,0.052,0.02,,148.0,69.5,Hitter,,,,
678554.0,Curtis Mead,WSH,3B,Neutral,0.122,0.349,0.371,0.022,0.52,,154.0,68.5,Hitter,,,,
647304.0,Josh Naylor,SEA,1B,Neutral,0.1197,0.295,0.34,0.045,70.11,,111.0,81.5,Hitter,,,,
666182.0,Bo Bichette,NYM,3B,Neutral,0.1187,0.274,0.338,0.064,74.62,14.0,141.0,71.0,Hitter,,,,
663993.0,Nathaniel Lowe,CIN,,Neutral,0.1182,0.415,0.458,0.043,4.51,,,,Hitter,,,,
673357.0,Luis Robert,NYM,,Neutral,0.1163,0.299,0.329,0.03,26.0,,212.0,,Hitter,,,,
700337.0,Edgar Quero,CWS,C,Neutral,0.1157,0.224,0.248,0.024,0.61,,295.0,24.0,Hitter,,,,
672275.0,Patrick Bailey,SF,C,Neutral,0.1154,0.202,0.292,0.09,0.94,,293.0,26.0,Hitter,,,,
701538.0,Jackson Merrill,SD,SS,Neutral,0.1145,0.308,0.33,0.022,89.65,,64.0,97.5,Hitter,,,,
663837.0,Matt Vierling,DET,RF,Neutral,0.1132,0.299,0.325,0.026,0.27,,198.0,56.0,Hitter,,,,
543807.0,George Springer,TOR,,Neutral,0.1106,0.312,0.339,0.027,74.85,,,,Hitter,,,,
681481.0,Kerry Carpenter,DET,RF,Neutral,0.1094,0.34,0.373,0.033,13.77,,166.0,66.5,Hitter,,,,
602104.0,Ramón Urías,STL,3B,Neutral,0.1086,0.283,0.314,0.031,0.13,,270.0,35.0,Hitter,,,,
592450.0,Aaron Judge,NYY,RF,Neutral,0.1071,0.469,0.488,0.019,99.89,1.0,3.0,159.0,Hitter,,,,
596019.0,Francisco Lindor,NYM,SS,Neutral,0.1071,0.304,0.336,0.032,97.65,,195.0,57.5,Hitter,,,,
671056.0,Iván Herrera,STL,C,Neutral,0.107,0.382,0.399,0.017,53.65,,32.0,113.5,Hitter,,,,
656555.0,Rhys Hoskins,CLE,1B,Neutral,0.1036,0.309,0.337,0.028,1.97,,172.0,65.0,Hitter,,,,
665862.0,Jazz Chisholm,NYY,,Neutral,0.1001,0.288,0.297,0.009,88.06,,78.0,,Hitter,,,,
687462.0,Spencer Horwitz,PIT,1B,Neutral,0.0998,0.358,0.333,-0.025,1.39,,143.0,70.5,Hitter,,,,
593428.0,Xander Bogaerts,SD,SS,Neutral,0.0994,0.36,0.363,0.003,32.9,,57.0,103.5,Hitter,,,,
592206.0,Nick Castellanos,SD,,Neutral,0.0977,0.232,0.311,0.079,0.86,,,,Hitter,,,,
691406.0,Junior Caminero,TB,3B,Neutral,0.0957,0.351,0.375,0.024,99.66,,51.0,105.0,Hitter,,,,
543760.0,Marcus Semien,NYM,2B,Neutral,0.0941,0.247,0.283,0.036,46.21,,204.0,55.0,Hitter,,,,
660821.0,Jesús Sánchez,TOR,RF,Neutral,0.0931,0.284,0.341,0.057,2.7,,160.0,67.0,Hitter,,,,
677950.0,Alek Thomas,AZ,CF,Neutral,0.0925,0.272,0.3,0.028,0.68,,199.0,56.0,Hitter,,,,
687363.0,Victor Scott,STL,,Neutral,0.0919,0.221,0.263,0.042,1.46,,,,Hitter,,,,
672580.0,Maikel García,KC,3B,Neutral,0.0894,0.319,0.353,0.034,87.32,,71.0,93.5,Hitter,,,,
680779.0,Henry Davis,PIT,RF,Neutral,0.089,0.241,0.283,0.042,0.53,,248.0,41.0,Hitter,,,,
808959.0,Munetaka Murakami,CWS,1B,Neutral,0.0886,0.388,0.42,0.032,91.36,,18.0,128.5,Hitter,,,,
547180.0,Bryce Harper,PHI,DH,Neutral,0.0871,0.417,0.434,0.017,96.0,29.0,15.0,131.5,Hitter,,,,
521692.0,Salvador Pérez,KC,C,Neutral,0.0859,0.264,0.301,0.037,70.73,,142.0,70.5,Hitter,,,,
695600.0,Carter Jensen,KC,C,Neutral,0.0843,0.328,0.33,0.002,21.71,,146.0,69.5,Hitter,,,,
663538.0,Nico Hoerner,CHC,2B,Neutral,0.0842,0.379,0.398,0.019,98.92,,9.0,135.0,Hitter,,,,
608701.0,Rob Refsnyder,SEA,,Neutral,0.0841,0.217,0.3,0.083,0.12,,,,Hitter,,,,
669357.0,Nolan Gorman,STL,2B,Neutral,0.0839,0.289,0.318,0.029,5.04,,138.0,71.5,Hitter,,,,
621439.0,Byron Buxton,MIN,DH,Neutral,0.0837,0.355,0.384,0.029,85.31,,28.0,115.0,Hitter,,,,
660844.0,Leo Rivas,SEA,,Neutral,0.0809,0.219,0.235,0.016,0.12,,,,Hitter,,,,
688363.0,Graham Pauley,MIA,3B,Neutral,0.0802,0.249,0.227,-0.022,0.09,,268.0,35.5,Hitter,,,,
624413.0,Pete Alonso,BAL,1B,Neutral,0.0788,0.343,0.377,0.034,97.76,17.0,50.0,105.0,Hitter,,,,
678246.0,Miguel Vargas,CWS,2B,Neutral,0.0787,0.366,0.415,0.049,56.0,,22.0,124.0,Hitter,,,,
691785.0,Marcelo Mayer,BOS,2B,Neutral,0.0764,0.29,0.305,0.015,3.06,,216.0,51.0,Hitter,,,,
701358.0,Cam Smith,HOU,3B,Neutral,0.0759,0.306,0.359,0.053,14.27,,101.0,84.0,Hitter,,,,
679529.0,Spencer Torkelson,DET,1B,Neutral,0.0757,0.333,0.374,0.041,28.26,,129.0,75.5,Hitter,,,,
596142.0,Gary Sánchez,MIL,C,Neutral,0.0727,0.371,0.395,0.024,4.81,,155.0,68.0,Hitter,,,,
518692.0,Freddie Freeman,LAD,1B,Neutral,0.072,0.336,0.384,0.048,95.37,6.0,83.0,89.5,Hitter,,,,
701675.0,Nathan Church,STL,OF,Neutral,0.0662,0.299,0.347,0.048,4.83,,137.0,72.0,Hitter,,,,
687401.0,Joey Ortiz,MIL,,Neutral,0.0662,0.21,0.259,0.049,0.95,,,,Hitter,,,,
681351.0,Logan O'hoppe,LAA,C,Neutral,0.0644,0.268,0.298,0.03,2.41,,250.0,39.5,Hitter,,,,
671739.0,Michael Harris,ATL,,Neutral,0.064,0.372,0.474,0.102,79.33,,70.0,,Hitter,,,,
694374.0,Tim Tawa,AZ,2B,Neutral,0.0625,0.25,0.304,0.054,0.12,,299.0,20.5,Hitter,,,,
677951.0,Bobby Witt,KC,,Neutral,0.0615,0.355,0.395,0.04,99.8,,29.0,,Hitter,,,,
671289.0,Tyler Freeman,COL,3B,Neutral,0.0558,0.324,0.354,0.03,0.39,,234.0,45.5,Hitter,,,,
676914.0,Davis Schneider,TOR,2B,Neutral,0.0539,0.281,0.321,0.04,0.45,,262.0,37.0,Hitter,,,,
663697.0,Jonathan India,KC,2B,Neutral,0.0526,0.304,0.313,0.009,7.92,,274.0,34.5,Hitter,,,,
673237.0,Yainer Diaz,HOU,C,Neutral,0.052,0.282,0.273,-0.009,51.66,,223.0,50.0,Hitter,,,,
660688.0,Keibert Ruiz,WSH,C,Neutral,0.0518,0.218,0.233,0.015,1.0,,284.0,29.5,Hitter,,,,
696285.0,Jacob Young,WSH,CF,Neutral,0.0508,0.258,0.296,0.038,0.7,,196.0,57.5,Hitter,,,,
678218.0,Brandon Valenzuela,TOR,C,Neutral,0.0489,0.28,0.305,0.025,0.39,,292.0,26.5,Hitter,,,,
694377.0,Nick Yorke,PIT,2B,Neutral,0.0472,0.293,0.33,0.037,0.18,,273.0,34.5,Hitter,,,,
682877.0,Juan Brito,CLE,SS,Neutral,0.046,0.232,0.256,0.024,0.08,,302.0,19.5,Hitter,,,,
695734.0,Daylen Lile,WSH,RF,Neutral,0.046,0.322,0.342,0.02,41.69,,90.0,87.5,Hitter,,,,
664040.0,Brandon Lowe,PIT,2B,Neutral,0.0438,0.371,0.398,0.027,77.78,,54.0,105.0,Hitter,,,,
655316.0,Andruw Monasterio,BOS,3B,Neutral,0.0432,0.295,0.328,0.033,0.15,,275.0,34.0,Hitter,,,,
800050.0,Chase Delauter,CLE,RF,Neutral,0.0413,0.384,0.396,0.012,79.52,,40.0,109.0,Hitter,,,,
668715.0,Spencer Steer,CIN,1B,Neutral,0.0407,0.34,0.381,0.041,8.16,,134.0,73.0,Hitter,,,,
664983.0,Jake Mccarthy,COL,RF,Neutral,0.0404,0.338,0.302,-0.036,0.37,,221.0,50.0,Hitter,,,,
641933.0,Tyler O'neill,BAL,,Neutral,0.0399,0.298,0.305,0.007,0.78,,,,Hitter,,,,
502671.0,Paul Goldschmidt,NYY,1B,Neutral,0.0366,0.324,0.42,0.096,1.22,,266.0,36.5,Hitter,,,,
